MUNNOMBRE,DEPNOMBRE,cod_mpio,ipm,pct_rural,tasa_homicidios,cobertura_acueducto,cobertura_alcantarillado,nbi_urbano,nbi_rural,desempeno_fiscal,poblacion_total,pct_cepeda_v1,pct_oposicion_v1,pct_cepeda_v2_pred,pct_oposicion_v2_pred,gana_cepeda_pred,margen_pred,ganador_pred,zona_riesgo,quintil_ipm
ALBANIA,CAQUETA,18029.0,38.8,55.53,89.11,57.35,49.89,11.88,26.37,59.93,4835.0,44.411915744071706,55.588084255928294,49.6959685082578,50.3040314917422,1,-0.61,Cepeda,Reñido (<5%),Medio
CARTAGENA DEL CHAIRA,CAQUETA,18150.0,63.3,51.96,50.29,57.47,47.92,30.11,47.72,73.1,34065.0,46.728043643716774,53.271956356283226,52.255850433125225,47.744149566874775,1,4.51,Cepeda,Reñido (<5%),Muy alto
BELEN DE LOS ANDAQUIES,CAQUETA,18094.0,50.0,42.44,17.52,69.96,62.64,22.56,39.02,67.45,11139.0,44.301175373186055,55.698824626813945,49.98990983765719,50.01009016234281,0,-0.02,Oposición,Reñido (<5%),Alto
EL DONCELLO,CAQUETA,18247.0,44.3,35.05,10.16,72.39,74.96,16.79,29.14,67.6,19156.0,42.923230443409174,57.076769556590826,48.62179258200859,51.37820741799141,0,-2.76,Oposición,Reñido (<5%),Medio
EL PAUJIL,CAQUETA,18256.0,45.5,55.23,58.33,54.84,51.64,18.5,30.71,64.97,19048.0,45.114335700701126,54.885664299298874,50.49833080008139,49.50166919991861,1,1.0,Cepeda,Reñido (<5%),Alto
LA MONTAÑITA,CAQUETA,18410.0,56.2,83.33,99.98,40.56,37.41,16.49,36.5,66.86,16156.0,49.153239004508016,50.846760995491984,53.90642367706907,46.09357632293093,1,7.81,Cepeda,Moderado (5-15%),Muy alto
PUERTO RICO,CAQUETA,18592.0,54.3,48.6,55.89,65.62,60.64,21.85,47.44,68.8,27061.0,45.40039879910418,54.59960120089582,50.84630017012649,49.15369982987351,1,1.69,Cepeda,Reñido (<5%),Alto
SAN VICENTE DEL CAGUAN,CAQUETA,18753.0,56.3,56.87,57.71,56.38,42.36,20.81,40.92,72.25,52636.0,46.46335313983592,53.53664686016408,52.01555728648813,47.98444271351187,1,4.03,Cepeda,Reñido (<5%),Muy alto
CURILLO,CAQUETA,18205.0,55.4,34.69,75.59,68.22,57.37,19.3,30.59,58.85,7545.0,44.10092651390278,55.89907348609722,49.17304526797801,50.82695473202199,0,-1.65,Oposición,Reñido (<5%),Muy alto
MILAN,CAQUETA,18460.0,64.6,89.79,9.84,18.09,29.97,15.82,51.86,71.75,10839.0,50.73166172981423,49.26833827018577,55.09181486365418,44.90818513634582,1,10.18,Cepeda,Moderado (5-15%),Muy alto
MORELIA,CAQUETA,18479.0,42.4,50.03,26.41,58.05,56.56,12.92,28.96,63.39,3674.0,44.24439248359072,55.75560751640928,49.59542668957866,50.40457331042134,1,-0.81,Cepeda,Reñido (<5%),Medio
SAN JOSE DEL FRAGUA,CAQUETA,18610.0,48.7,52.99,67.27,74.8,61.59,18.45,36.01,67.09,13175.0,45.23580368904839,54.76419631095161,50.863852992759945,49.136147007240055,1,1.73,Cepeda,Reñido (<5%),Alto
SOLANO,CAQUETA,18756.0,71.9,77.61,42.56,40.04,41.55,27.02,51.62,61.72,11058.0,50.28711109369532,49.71288890630468,54.47849959943109,45.52150040056891,1,8.96,Cepeda,Moderado (5-15%),Muy alto
SOLITA,CAQUETA,18785.0,58.1,44.92,61.73,58.15,53.59,22.16,34.87,58.7,6282.0,45.44052853113263,54.55947146886737,50.26696056472925,49.73303943527075,1,0.53,Cepeda,Reñido (<5%),Muy alto
VALPARAISO,CAQUETA,18860.0,50.0,70.66,13.89,42.75,46.44,12.74,36.68,64.67,7373.0,47.1816489875578,52.8183510124422,52.03251464331734,47.96748535668266,1,4.07,Cepeda,Reñido (<5%),Alto
YOPAL,CASANARE,85001.0,22.9,12.04,12.74,89.13,84.01,10.22,19.18,72.95,231432.0,38.23319560266281,61.76680439733719,45.12269350469436,54.87730649530564,0,-9.75,Oposición,Moderado (5-15%),Muy bajo
AGUAZUL,CASANARE,85010.0,27.0,23.76,15.54,80.32,77.38,10.69,22.74,78.54,38528.0,39.878057860099275,60.121942139900725,46.76920646516706,53.23079353483294,0,-6.46,Oposición,Moderado (5-15%),Muy bajo
CHAMEZA,CASANARE,85015.0,36.0,36.28,0.0,65.17,63.93,3.79,39.52,59.48,2707.0,42.140682800659604,57.859317199340396,47.463562444249995,52.536437555750005,0,-5.07,Oposición,Moderado (5-15%),Bajo
HATO COROZAL,CASANARE,85125.0,56.1,50.54,16.26,53.61,40.41,22.91,41.24,70.79,13016.0,45.795355143753966,54.204644856246034,51.38752376506207,48.61247623493793,1,2.78,Cepeda,Reñido (<5%),Muy alto
LA SALINA,CASANARE,85136.0,48.1,46.77,0.0,56.68,51.23,8.53,36.92,59.9,1503.0,44.53526994373404,55.46473005626596,49.51253989615921,50.48746010384079,0,-0.97,Oposición,Reñido (<5%),Alto
MANI,CASANARE,85139.0,30.3,29.54,73.29,55.73,72.79,12.55,24.95,76.97,22980.0,40.82908471175239,59.17091528824761,47.05836020928655,52.94163979071345,1,-5.88,Cepeda,Moderado (5-15%),Bajo
MONTERREY,CASANARE,85162.0,27.5,25.71,10.93,89.5,76.17,7.24,10.0,88.91,18961.0,40.13180297789423,59.86819702210577,47.63775020617579,52.36224979382421,1,-4.72,Cepeda,Reñido (<5%),Bajo
NUNCHIA,CASANARE,85225.0,56.4,72.38,33.9,46.03,27.31,15.77,38.61,64.16,9406.0,48.05743175408593,51.94256824591407,53.047126766862014,46.952873233137986,1,6.09,Cepeda,Moderado (5-15%),Muy alto
OROCUE,CASANARE,85230.0,45.8,50.92,23.34,75.37,72.34,16.78,52.31,68.21,17840.0,44.70722786681548,55.29277213318452,50.33825040761482,49.66174959238518,1,0.68,Cepeda,Reñido (<5%),Alto
PORE,CASANARE,85263.0,45.2,37.14,8.16,74.41,62.72,22.01,33.22,77.79,15297.0,43.235029326155626,56.764970673844374,49.71334647570811,50.28665352429189,1,-0.57,Cepeda,Reñido (<5%),Alto
RECETOR,CASANARE,85279.0,39.3,77.54,55.16,21.41,25.06,20.38,30.57,56.45,1741.0,46.71322644316706,53.28677355683294,51.52430928271147,48.47569071728853,1,3.05,Cepeda,Reñido (<5%),Medio
SABANALARGA,CASANARE,85300.0,34.2,46.34,27.59,72.28,67.11,8.8,14.26,83.07,3820.0,42.970591210526514,57.029408789473486,49.63057742180972,50.36942257819028,1,-0.74,Cepeda,Reñido (<5%),Bajo
SACAMA,CASANARE,85315.0,32.5,43.26,144.37,73.82,59.32,7.47,54.28,63.98,1833.0,42.47021363323485,57.52978636676515,48.26795477523717,51.73204522476283,1,-3.46,Cepeda,Reñido (<5%),Bajo
SAN LUIS DE PALENQUE,CASANARE,85325.0,37.0,59.31,11.87,53.32,39.02,8.27,24.02,75.71,8975.0,44.60081159907488,55.39918840092512,50.75061189847801,49.24938810152199,1,1.5,Cepeda,Reñido (<5%),Medio
TAMARA,CASANARE,85400.0,55.0,71.92,15.09,26.06,23.59,20.03,43.0,62.54,7315.0,47.85730573864201,52.14269426135799,52.58138425858635,47.41861574141365,1,5.16,Cepeda,Moderado (5-15%),Alto
TAURAMENA,CASANARE,85410.0,27.2,33.27,15.64,84.6,71.24,10.3,22.56,79.92,28096.0,40.87064501612815,59.12935498387185,47.92688804442038,52.07311195557962,0,-4.15,Oposición,Reñido (<5%),Muy bajo
TRINIDAD,CASANARE,85430.0,38.7,42.1,14.64,63.93,61.21,16.42,26.46,70.18,13932.0,43.03014702060458,56.96985297939542,49.026584280306075,50.973415719693925,0,-1.95,Oposición,Reñido (<5%),Medio
VILLANUEVA,CASANARE,13873.0,54.1,13.27,23.19,53.87,1.37,39.07,43.37,52.55,38611.0,41.7723109796069,58.2276890203931,47.73775277078412,52.26224722921588,0,-4.52,Oposición,Reñido (<5%),Alto
SAN JOSE DEL GUAVIARE,GUAVIARE,95001.0,42.1,35.62,46.39,52.34,57.59,13.71,51.44,70.68,52506.0,42.740711300430334,57.259288699569666,48.390403156315514,51.609596843684486,1,-3.22,Cepeda,Reñido (<5%),Medio
CALAMAR,GUAVIARE,13140.0,62.5,41.74,21.11,52.12,1.04,35.78,47.0,65.36,26980.0,45.59733980882247,54.40266019117753,51.59145965067964,48.40854034932036,1,3.18,Cepeda,Reñido (<5%),Muy alto
EL RETORNO,GUAVIARE,95025.0,51.5,77.04,41.94,39.83,34.75,11.2,40.54,62.77,13464.0,47.99698253426716,52.00301746573284,52.713988396767036,47.286011603232964,1,5.43,Cepeda,Moderado (5-15%),Alto
MIRAFLORES,GUAVIARE,15455.0,21.1,31.22,0.0,86.42,60.9,5.11,11.51,82.11,8689.0,39.9940012259624,60.0059987740376,47.48598267503211,52.51401732496789,0,-5.03,Oposición,Moderado (5-15%),Muy bajo
LETICIA,AMAZONAS,91001.0,48.4,27.91,63.46,48.18,43.86,25.01,32.9,70.19,56388.0,42.64301359499691,57.35698640500309,48.475679148759745,51.524320851240255,1,-3.05,Cepeda,Reñido (<5%),Alto
PUERTO NARIÑO,AMAZONAS,91540.0,70.4,59.95,0.0,28.22,17.5,33.59,44.68,68.36,13127.0,48.32040467774028,51.67959532225972,53.31173591117783,46.68826408882217,1,6.62,Cepeda,Moderado (5-15%),Muy alto
PUERTO SANTANDER,AMAZONAS,54553.0,42.9,7.49,63.57,90.07,89.09,17.81,15.23,64.32,9489.0,39.95695152401506,60.04304847598494,45.87001311862104,54.12998688137896,0,-8.26,Oposición,Moderado (5-15%),Medio
MITU,VAUPES,97001.0,74.8,78.59,5.58,39.05,34.93,31.12,86.26,68.22,34884.0,50.70442836739296,49.29557163260704,55.261002720307786,44.738997279692214,1,10.52,Cepeda,Moderado (5-15%),Muy alto
CARURU,VAUPES,97161.0,81.1,60.86,85.76,41.21,40.2,17.18,62.59,56.81,3063.0,49.583968591938095,50.416031408061905,53.11382017682065,46.88617982317935,1,6.23,Cepeda,Moderado (5-15%),Muy alto
TARAIRA,VAUPES,97666.0,85.6,68.04,37.78,31.65,28.1,44.73,95.32,32.23,3508.0,50.80918736006454,49.19081263993546,53.54977980585034,46.45022019414966,1,7.1,Cepeda,Moderado (5-15%),Muy alto
PUERTO CARREÑO,VICHADA,99001.0,55.7,25.52,52.89,59.44,10.04,31.79,67.37,70.86,29084.0,43.19774845443787,56.80225154556213,49.679112622089164,50.320887377910836,1,-0.64,Cepeda,Reñido (<5%),Muy alto
SANTA ROSALIA,VICHADA,99624.0,56.8,41.07,0.0,67.32,1.66,25.27,55.98,62.55,3716.0,44.905319141574935,55.094680858425065,51.04357410703865,48.95642589296135,1,2.09,Cepeda,Reñido (<5%),Muy alto
CUMARIBO,VICHADA,99773.0,91.4,97.53,6.19,10.97,5.09,31.96,91.41,62.68,180609.0,54.453865798446856,45.546134201553144,57.91162663267731,42.08837336732269,1,15.82,Cepeda,Definido (>15%),Muy alto
LA PRIMAVERA,VICHADA,99524.0,63.2,41.42,30.47,64.57,5.01,37.67,58.75,63.38,10527.0,45.64126318196242,54.35873681803758,51.7315556044271,48.2684443955729,1,3.46,Cepeda,Reñido (<5%),Muy alto
